namespace,namespace_name,namespace_url,namespace_lang,route_path,route_name,category,uses_browser,requirePuppeteer_flag,anti_crawler,require_config_vars,file
kzo.moe,Kmoe,kzo.moe,zh-CN,/kzo.moe/,Latest,anime,False,False,False,,lib/routes/kzo.moe/lastupdate.ts
lagou,拉勾网,www.lagou.com,zh-CN,/lagou/jobs/:position/:city,职位招聘,programming,False,False,True,,lib/routes/lagou/jobs.ts
laimanhua,来漫画,www.laimanhua8.com,zh-CN,/laimanhua/:id,漫画列表,anime,False,False,False,,lib/routes/laimanhua/index.ts
lala,荒岛,lala.im,zh-CN,/lala/,最新发布,blog,False,False,False,,lib/routes/lala/rss.ts
lancedb,LanceDB,lancedb.com,en,/lancedb/blog/:category?,Blog,programming,False,False,False,,lib/routes/lancedb/blog.ts
landiannews,蓝点网,landiannews.com,zh-CN,/landiannews/category/:slug,分类,new-media,False,False,False,,lib/routes/landiannews/category.ts
landiannews,蓝点网,landiannews.com,zh-CN,/landiannews/,首页,new-media,False,False,False,,lib/routes/landiannews/index.ts
landiannews,蓝点网,landiannews.com,zh-CN,/landiannews/tag/:slug,标签,new-media,False,False,False,,lib/routes/landiannews/tag.ts
lang,浪 Play 直播,lang.live,zh-CN,/lang/live/room/:id,直播间开播,live,False,False,True,,lib/routes/lang/room.tsx
langchain,LangChain Blog,blog.langchain.dev,en,/langchain/blog,Blog,blog,False,False,False,,lib/routes/langchain/index.ts
lanqiao,蓝桥云课,lanqiao.cn,zh-CN,/lanqiao/author/:uid,作者发布的课程,programming,False,False,False,,lib/routes/lanqiao/author.ts
lanqiao,蓝桥云课,lanqiao.cn,zh-CN,/lanqiao/courses/:sort/:tag,全站发布的课程,programming,False,False,True,,lib/routes/lanqiao/courses.ts
lanqiao,蓝桥云课,lanqiao.cn,zh-CN,/lanqiao/questions/:id,技术社区,programming,False,False,True,,lib/routes/lanqiao/questions.ts
laohu8,老虎社区,laohu8.com,zh-CN,/laohu8/personal/:id,个人主页,finance,False,False,False,,lib/routes/laohu8/personal.ts
last-origin,LastOrigin,www.last-origin.com,ja,/last-origin/news,News,game,False,False,False,,lib/routes/last-origin/news.ts
last.fm,Last.fm,www.last.fm,en,/last.fm/loved/:user,用户 Love 记录,multimedia,False,False,False,LASTFM_API_KEY,lib/routes/last.fm/loved.ts
last.fm,Last.fm,www.last.fm,en,/last.fm/recent/:user,用户播放记录,multimedia,False,False,False,LASTFM_API_KEY,lib/routes/last.fm/recent.ts
last.fm,Last.fm,www.last.fm,en,/last.fm/top/:country?,站内 Top 榜单,multimedia,False,False,False,LASTFM_API_KEY,lib/routes/last.fm/top.ts
latepost,晚点 LatePost,latepost.com,zh-CN,/latepost/:proma?,报道,new-media,False,False,False,,lib/routes/latepost/index.ts
